channel,symbol,date,side
prices,ETH,2026-05-10,canonical
prices,ETH,2026-05-11,canonical
prices,ETH,2026-05-12,canonical
prices,ETH,2026-05-13,canonical
prices,ETH,2026-05-14,canonical
prices,EURUSD,2026-04-30,canonical
prices,EURUSD,2026-05-01,canonical
prices,EURUSD,2026-05-02,canonical
prices,EURUSD,2026-05-03,canonical
prices,EURUSD,2026-05-04,canonical
prices,EURUSD,2026-05-05,canonical
prices,EURUSD,2026-05-06,canonical
prices,EURUSD,2026-05-07,canonical
prices,EURUSD,2026-05-08,canonical
prices,EURUSD,2026-05-09,canonical
prices,EURUSD,2026-05-10,canonical
prices,EURUSD,2026-05-11,canonical
prices,EURUSD,2026-05-12,canonical
prices,EURUSD,2026-05-13,canonical
prices,EURUSD,2026-05-14,canonical
prices,FARTCOIN,2026-04-30,canonical
prices,FARTCOIN,2026-05-01,canonical
prices,FARTCOIN,2026-05-02,canonical
prices,FARTCOIN,2026-05-03,canonical
prices,FARTCOIN,2026-05-04,canonical
prices,FARTCOIN,2026-05-05,canonical
prices,FARTCOIN,2026-05-06,canonical
prices,FARTCOIN,2026-05-07,canonical
prices,FARTCOIN,2026-05-08,canonical
prices,FARTCOIN,2026-05-09,canonical
prices,FARTCOIN,2026-05-10,canonical
prices,FARTCOIN,2026-05-11,canonical
prices,FARTCOIN,2026-05-12,canonical
prices,FARTCOIN,2026-05-13,canonical
prices,FARTCOIN,2026-05-14,canonical
prices,GOOGL,2026-04-30,canonical
prices,GOOGL,2026-05-01,canonical
prices,GOOGL,2026-05-02,canonical
prices,GOOGL,2026-05-03,canonical
prices,GOOGL,2026-05-04,canonical
prices,GOOGL,2026-05-05,canonical
prices,GOOGL,2026-05-06,canonical
prices,GOOGL,2026-05-07,canonical
prices,GOOGL,2026-05-08,canonical
prices,GOOGL,2026-05-09,canonical
prices,GOOGL,2026-05-10,canonical
prices,GOOGL,2026-05-11,canonical
prices,GOOGL,2026-05-12,canonical
prices,GOOGL,2026-05-13,canonical
prices,GOOGL,2026-05-14,canonical
prices,HOOD,2026-04-30,canonical
prices,HOOD,2026-05-01,canonical
prices,HOOD,2026-05-02,canonical
prices,HOOD,2026-05-03,canonical
prices,HOOD,2026-05-04,canonical
prices,HOOD,2026-05-05,canonical
prices,HOOD,2026-05-06,canonical
prices,HOOD,2026-05-07,canonical
prices,HOOD,2026-05-08,canonical
prices,HOOD,2026-05-09,canonical
prices,HOOD,2026-05-10,canonical
prices,HOOD,2026-05-11,canonical
prices,HOOD,2026-05-12,canonical
prices,HOOD,2026-05-13,canonical
prices,HOOD,2026-05-14,canonical
prices,HYPE,2026-04-30,canonical
prices,HYPE,2026-05-01,canonical
prices,HYPE,2026-05-02,canonical
prices,HYPE,2026-05-03,canonical
prices,HYPE,2026-05-04,canonical
prices,HYPE,2026-05-05,canonical
prices,HYPE,2026-05-06,canonical
prices,HYPE,2026-05-07,canonical
prices,HYPE,2026-05-08,canonical
prices,HYPE,2026-05-09,canonical
prices,HYPE,2026-05-10,canonical
prices,HYPE,2026-05-11,canonical
prices,HYPE,2026-05-12,canonical
prices,HYPE,2026-05-13,canonical
prices,HYPE,2026-05-14,canonical
