symbol,horizon,signal_kind,percentile_cutoff,n_total_windows,n_extreme_windows,extreme_frequency,mean_signed_return_extreme,median_signed_return_extreme,p25_signed_return_extreme,p75_signed_return_extreme,frac_positive_signed_return_extreme,gross_extreme_bps,cost_round_trip_bps,headroom_extreme_bps,per_day_expected_gross_bps
WLFI,500,flow,0.95,4228,212,0.0501419,24.1134,7.77784,-56.316,107.898,0.518868,24.1134,10,14.1134,0.707675
XPL,10,flow,0.95,4486,293,0.0653143,1.99335,0,-12.0613,15.1095,0.488055,1.99335,10,-8.00665,-0.522949
XPL,50,flow,0.95,4449,290,0.0651832,0.337548,0,-29.1339,29.4589,0.493103,0.337548,10,-9.66245,-0.629829
XPL,100,flow,0.95,4406,287,0.0651384,-0.744863,-2.32831e-06,-38.5043,45.4702,0.484321,0.744863,10,-9.25514,-0.602865
XPL,500,flow,0.95,4078,265,0.0649828,12.3146,8.00962,-112.592,112.458,0.50566,12.3146,10,2.31464,0.150412
XRP,10,flow,0.95,7188,328,0.0456316,-0.545563,-0.460831,-4.60281,3.70812,0.460366,0.545563,10,-9.45444,-0.431421
XRP,50,flow,0.95,7154,325,0.0454291,-1.46315,-1.88285,-11.7326,9.16901,0.464615,1.46315,10,-8.53685,-0.387822
XRP,100,flow,0.95,7111,322,0.045282,-1.27335,0.191187,-15.2478,15.1363,0.506211,1.27335,10,-8.72665,-0.39516
XRP,500,flow,0.95,6783,304,0.0448179,-6.62991,-5.17673,-37.5891,25.7697,0.453947,6.62991,10,-3.37009,-0.15104
2Z,10,flow,0.99,4403,70,0.0158983,4.09195,0,-6.37671,13.1243,0.428571,4.09195,10,-5.90805,-0.0939277
2Z,50,flow,0.99,4375,69,0.0157714,9.34865,8.62441,-25.5591,27.608,0.57971,9.34865,10,-0.651351,-0.0102727
2Z,100,flow,0.99,4338,68,0.0156754,1.37718,2.19539,-44.0386,49.6354,0.514706,1.37718,10,-8.62282,-0.135166
2Z,500,flow,0.99,4010,62,0.0154613,-3.41648,6.8054,-99.8515,79.8092,0.532258,3.41648,10,-6.58352,-0.10179
AAVE,10,flow,0.99,4985,60,0.0120361,-1.14308,-0.914829,-7.10722,5.25582,0.483333,1.14308,10,-8.85692,-0.106603
