symbol,size_usd,horizon,n_windows,n_fillable_with_edge,fillable_frac,slip_median_bps,slip_p90_bps,edge_median_bps,edge_p75_bps,edge_p90_bps,headroom_median_bps,headroom_p75_bps,headroom_p90_bps,frac_positive_headroom,headroom_55_median_bps,headroom_55_p75_bps,headroom_55_p90_bps,frac_pos_acc_55,headroom_575_median_bps,headroom_575_p75_bps,headroom_575_p90_bps,frac_pos_acc_575,headroom_60_median_bps,headroom_60_p75_bps,headroom_60_p90_bps,frac_pos_acc_60
AVAX,100000,50,4745,4173,0.88725,7.17326,10.743,15.5863,31.3603,53.6681,-9.06458,5.23822,25.3903,0.320633,-22.9713,-18.5216,-16.9902,0.000718907,-21.4446,-17.7595,-15.6242,0.00263599,-20.1256,-16.8631,-13.8071,0.00766834
AVAX,100000,100,4745,4147,0.88725,7.17326,10.743,22.1223,44.2804,76.6458,-2.73732,18.0294,48.3783,0.45334,-21.7239,-17.8954,-15.843,0.00144683,-19.8358,-16.662,-13.282,0.00747528,-18.5914,-15.129,-10.2907,0.0229081
AVAX,100000,500,4745,3861,0.88725,7.17326,10.743,50.176,100.165,172.78,24.7841,72.098,140.872,0.719503,-18.1489,-14.0137,-8.20143,0.038332,-16.2878,-10.0875,-0.436565,0.0966071,-14.1267,-5.43146,7.65959,0.16317
BNB,1000,10,5903,5889,0.999153,0.610687,1.76386,4.76109,9.43425,15.9958,-8.59592,-3.93286,2.38704,0.139752,-12.5755,-11.7972,-11.1876,0,-12.305,-11.4915,-10.583,0.000339616,-12.0911,-11.147,-9.90405,0.00101885
BNB,1000,50,5903,5862,0.999153,0.610687,1.76386,10.8425,20.9783,34.6285,-2.52293,7.46037,21.3097,0.424087,-11.9774,-10.9058,-9.58165,0.0017059,-11.5584,-9.99912,-7.90348,0.00580007,-11.0609,-9.01766,-6.26962,0.0150119
BNB,1000,100,5903,5818,0.999153,0.610687,1.76386,15.9518,30.0388,49.5457,2.40957,16.7187,35.7751,0.557236,-11.6371,-10.1468,-8.19948,0.00464077,-10.93,-8.75183,-5.8007,0.0235476,-10.1859,-7.28947,-3.3678,0.051736
BNB,1000,500,5903,5484,0.999153,0.610687,1.76386,35.2597,69.3605,113.849,21.7369,55.3838,99.9606,0.783735,-9.88944,-6.57739,-2.02991,0.0700219,-8.13209,-3.24286,3.63315,0.159373,-6.3732,0.173723,9.15153,0.2531
BNB,10000,10,5903,5770,0.978824,1.34176,2.32564,4.76109,9.43425,15.9958,-9.89004,-5.31639,1.00065,0.115771,-14.0844,-13.1118,-12.1866,0,-13.8007,-12.7078,-11.671,0.00017331,-13.5407,-12.3453,-11.0032,0.000866551
BNB,10000,50,5903,5743,0.978824,1.34176,2.32564,10.8425,20.9783,34.6285,-3.79842,6.0404,19.6961,0.386906,-13.4543,-12.1562,-10.7419,0.001393,-12.8949,-11.3049,-9.19185,0.00330838,-12.3558,-10.36,-7.58291,0.0121888
BNB,10000,100,5903,5701,0.978824,1.34176,2.32564,15.9518,30.0388,49.5457,1.18131,15.2763,34.3078,0.528153,-12.974,-11.4125,-9.41691,0.00280653,-12.1861,-10.0999,-7.1169,0.01719,-11.4512,-8.61359,-4.79319,0.0412208
