symbol,horizon,offset_bps,n_windows,fill_rate_bid,fill_rate_ask,fill_rate_either,mean_pnl_bid_filled,median_pnl_bid_filled,q25_pnl_bid_filled,q75_pnl_bid_filled,mean_pnl_ask_filled,median_pnl_ask_filled,q25_pnl_ask_filled,q75_pnl_ask_filled,mean_pnl_either_filled,median_pnl_either_filled,unconditional_maker_pnl_bps,model_accuracy_breakeven
UNI,10,5,4633,0.345349,0.332614,0.616231,-6.99873,-6.14159,-16.4605,3.38689,-7.89337,-6.36046,-17.9268,3.19692,-7.43765,-6.20452,-5.52122,0.298323
UNI,50,1,4600,0.72913,0.742609,0.987826,-9.48636,-7.46506,-26.4514,10.1484,-7.6237,-6.06446,-25.0729,10.7662,-8.5465,-6.95529,-9.28911,0.32449
UNI,50,2,4600,0.698261,0.716304,0.98,-9.736,-7.44629,-26.9594,9.96853,-7.75618,-6.09726,-25.2041,10.8269,-8.73347,-6.73533,-9.17703,0.328247
UNI,50,5,4600,0.633696,0.636087,0.940652,-9.38041,-6.77601,-26.8032,10.2537,-7.56871,-6.25451,-25.4931,11.4566,-8.47285,-6.54217,-8.37934,0.322964
UNI,100,1,4561,0.810349,0.811006,0.995176,-10.1152,-10.1948,-35.0571,15.0081,-7.30498,-5.06378,-32.092,21.2338,-8.7095,-7.34883,-10.0606,0.327774
UNI,100,2,4561,0.788204,0.793466,0.994519,-10.1884,-9.88411,-34.8969,14.7165,-7.3424,-4.99079,-32.0009,21.0916,-8.76065,-7.60844,-9.92823,0.32878
UNI,100,5,4561,0.74282,0.731857,0.98531,-9.46232,-8.92128,-34.2649,15.3615,-7.165,-4.62991,-32.1826,21.6331,-8.3222,-6.99041,-9.13627,0.319759
UNI,500,1,4227,0.919565,0.911521,0.997161,-12.5068,-12.9332,-69.258,42.3612,-6.19027,-0.54817,-58.333,53.9047,-9.36242,-7.2672,-11.5717,0.339785
UNI,500,2,4227,0.911521,0.902531,0.997161,-12.4105,-12.5703,-69.3519,41.3103,-6.33656,0.189026,-57.9522,53.9158,-9.38856,-7.02876,-11.5157,0.340231
UNI,500,5,4227,0.891412,0.875089,0.997161,-11.6091,-12.0842,-68.1393,41.4759,-6.05693,-0.10199,-57.4117,54.144,-8.85868,-6.34533,-10.8244,0.330675
WLFI,10,1,4823,0.393116,0.384201,0.689198,-10.3942,-8.8289,-20.2485,1.0001,-10.1202,-7.62737,-19.4899,0.9999,-10.2588,-8.38883,-6.98716,0.353784
WLFI,10,2,4823,0.393116,0.384201,0.689198,-9.39504,-7.82958,-19.2503,2.0004,-9.1194,-6.6268,-18.4881,1.9996,-9.2588,-7.38819,-6.59851,0.337992
WLFI,10,5,4823,0.294423,0.280116,0.532656,-9.68692,-8.96609,-20.9958,5.0025,-10.2222,-8.23215,-21.5098,4.9975,-9.9479,-8.62895,-5.85773,0.349214
WLFI,50,1,4791,0.664997,0.662701,0.945523,-11.6041,-10.6425,-31.4338,9.43983,-13.2574,-10.9606,-33.2288,9.18239,-12.4293,-10.8332,-11.2512,0.379318
WLFI,50,2,4791,0.664997,0.662701,0.945523,-10.6051,-9.64338,-30.4368,10.441,-12.2563,-9.95973,-32.2256,10.1813,-11.4293,-9.83235,-10.5873,0.368758
WLFI,50,5,4791,0.585681,0.57608,0.900647,-11.2859,-9.61402,-31.3265,11.5848,-13.3114,-10.9946,-33.0715,11.2778,-12.2903,-10.0094,-10.1392,0.377953
