symbol,horizon,fold,quintile,n_windows,directional_accuracy,binomial_2sigma_lower_bound,mean_signed_return_bps,mean_abs_edge_bps,mean_slip_bps,gross_round_trip_bps,cost_round_trip_bps,headroom_bps,tradeable
AVAX,500,2026-03,5,85,0.5176470588235295,0.40924940716351393,-1.739509020166566,85.78351601858314,3.9877409439027702,3.027653506538237,15.97548188780554,-12.947828381267303,False
BNB,100,2026-02,1,196,0.5,0.4285714285714286,0.9125911455007124,32.09711165588229,0.6945403002684444,0.0,9.38908060053689,-9.38908060053689,False
BNB,100,2026-02,2,196,0.4744897959183674,0.40315425228503166,0.8235801952695098,29.583236846612664,0.5502642072275412,-1.5093488187047261,9.100528414455082,-10.609877233159809,False
BNB,100,2026-02,3,195,0.5282051282051282,0.4567076696534972,1.2693038402825108,30.075125410691992,0.611132334033431,1.6965455359877541,9.222264668066861,-7.525719132079107,False
BNB,100,2026-02,4,196,0.46938775510204084,0.3980931821537173,-1.05589408775522,28.712777148115517,0.7132803804522837,-1.7579251315172753,9.426560760904568,-11.184485892421844,False
BNB,100,2026-02,5,196,0.47959183673469385,0.40822278912598453,-0.5952823674740548,33.63106789701212,0.9082204483395537,-1.372696648857639,9.816440896679108,-11.189137545536747,False
BNB,100,2026-03,1,86,0.6046511627906976,0.4992067799798936,5.3440147078201505,30.36679799880925,0.22983237160527653,6.355841441611236,8.459664743210553,-2.1038233015993164,False
BNB,100,2026-03,2,85,0.5294117647058824,0.4211343545156654,1.8288893251279246,29.43980155606632,0.16969255465012628,1.7317530327097839,8.339385109300252,-6.607632076590469,False
BNB,100,2026-03,3,85,0.5882352941176471,0.4814723278855259,0.7437568340600275,26.85995939735051,0.1802228153106488,4.739992834826562,8.360445630621298,-3.620452795794736,False
BNB,100,2026-03,4,85,0.4588235294117647,0.3507267322083222,0.0937140212245675,27.427227313162906,0.21335729387776303,-2.2587128375545933,8.426714587755527,-10.68542742531012,False
BNB,100,2026-03,5,86,0.5232558139534884,0.41553974291974244,-1.8433153152382113,30.798570677250286,0.22758569215562424,1.4324916594069925,8.455171384311248,-7.022679724904255,False
BNB,500,2026-02,1,185,0.5351351351351351,0.46179541877883606,2.962592115023256,67.51742656885204,0.6434052136548549,4.744467812946357,9.28681042730971,-4.542342614363354,False
BNB,500,2026-02,2,184,0.5,0.4262790219225514,2.0725893386201197,64.64884486615614,0.6897646866632162,0.0,9.379529373326433,-9.379529373326433,False
BNB,500,2026-02,3,185,0.4648648648648649,0.39152514850856585,-7.592840450003571,76.65276523487046,0.8412922428568671,-5.38641053001792,9.682584485713734,-15.068995015731655,False
BNB,500,2026-02,4,184,0.5217391304347826,0.44808786488174607,4.085258898220524,70.28174949548902,0.6695575767125065,3.0557282389343032,9.339115153425013,-6.283386914490709,False
BNB,500,2026-02,5,185,0.5945945945945946,0.522400881808001,15.118665176686624,72.62075095664498,0.7057470979896211,13.739060991797704,9.411494195979243,4.327566795818461,True
BNB,500,2026-03,1,76,0.6052631578947368,0.49312610181226446,12.743351412854853,64.88480591946625,0.20892793606438487,13.659959140940261,8.41785587212877,5.242103268811491,False
BNB,500,2026-03,2,75,0.48,0.36462235918515234,1.5047103401201412,67.81467446917816,0.20030501653002064,-2.7125869787671286,8.40061003306004,-11.113197011827168,False
BNB,500,2026-03,3,75,0.48,0.36462235918515234,-6.922554181603976,62.71673389539239,0.23593236100307707,-2.5086693558156976,8.471864722006154,-10.980534077821853,False
BNB,500,2026-03,4,75,0.49333333333333335,0.3778735439564123,6.862551799650355,67.9335223576128,0.23280428860369587,-0.9057802981015023,8.465608577207393,-9.371388875308895,False
BNB,500,2026-03,5,76,0.47368421052631576,0.3591353289299981,0.9472424421893807,55.52273875872253,0.19460680604820216,-2.9222494083538204,8.389213612096404,-11.311463020450224,False
BTC,100,2026-02,1,530,0.5339622641509434,0.4906253597840679,0.1926307476497868,19.804145835569628,0.32440110075784506,1.3451872643028424,8.64880220151569,-7.303614937212847,False
BTC,100,2026-02,2,529,0.500945179584121,0.4574669963984901,-0.7070125081197691,18.970828578182733,0.2849867555664564,0.03586167973191477,8.569973511132913,-8.534111831400999,False
BTC,100,2026-02,3,530,0.4962264150943396,0.4527904279228483,0.8735513507149807,16.81234059913772,0.2839738146112791,-0.12688558942745445,8.567947629222559,-8.694833218650013,False
BTC,100,2026-02,4,529,0.497164461247637,0.4536868995384773,1.0747402123858416,17.374724207266,0.3407572509252768,-0.09853340760264366,8.681514501850554,-8.780047909453197,False
BTC,100,2026-02,5,530,0.5094339622641509,0.4660044704710875,0.8199199175421199,19.232066229554725,0.33940615457652096,0.3628691741425419,8.678812309153042,-8.3159431350105,False
BTC,100,2026-03,1,410,0.48292682926829267,0.43356914947529634,-0.03717706199177029,16.4408128143786,0.24195710956074157,-0.5613936082958552,8.483914219121484,-9.04530782741734,False
