symbol,horizon,fold,n_test_windows,p_cascade,precision_top_decile,recall_top_decile,lift,auc,mean_edge_in_cascade_bps,headroom_top_decile_bps,expected_gross_per_day
CRV,10,2026-03,472,0.025423728813559324,0.06382978723404255,0.25,2.5106382978723403,0.5947463768115941,89.27121891853537,214.1277411146207,360.95819216464633
CRV,50,2026-02,526,0.028517110266159697,0.07692307692307693,0.26666666666666666,2.6974358974358976,0.530071754729289,197.12965772487223,521.744615196322,980.1345271188048
CRV,50,2026-03,467,0.01284796573875803,0.021739130434782608,0.16666666666666666,1.6920289855072463,0.39515545914678235,181.44719278401038,297.01390952946684,495.37677053664646
CRV,100,2026-02,520,0.026923076923076925,0.057692307692307696,0.21428571428571427,2.142857142857143,0.6562676453980802,267.23357828034614,562.6433820293131,1044.9091380544387
CRV,100,2026-03,463,0.01079913606911447,0.021739130434782608,0.2,2.0130434782608697,0.44759825327510916,238.78546204650732,470.68551707623,778.3121228796231
CRV,500,2026-02,464,0.015086206896551725,0.043478260869565216,0.2857142857142857,2.881987577639751,0.6820881525476712,530.6381335581796,1519.2925091366167,2517.6847294263935
CRV,500,2026-03,413,0.004842615012106538,0.0,0.0,0.0,0.597323600973236,691.1029024922755,-10.0,-14.75
DOGE,10,2026-02,575,0.03304347826086956,0.10526315789473684,0.3157894736842105,3.1855955678670362,0.6950018932222642,96.19529938438643,296.43931936854403,608.7593165604029
DOGE,10,2026-03,459,0.02832244008714597,0.044444444444444446,0.15384615384615385,1.5692307692307694,0.5757157640565712,75.75220196136237,108.87268615475328,178.47343908939914
DOGE,50,2026-02,565,0.023008849557522124,0.125,0.5384615384615384,5.4326923076923075,0.8369565217391305,179.03057399962606,962.6180222095069,1942.4256519584692
DOGE,50,2026-03,455,0.01978021978021978,0.08888888888888889,0.4444444444444444,4.493827160493828,0.6793721973094171,167.19319095298297,741.3373025541458,1204.673116650487
DOGE,100,2026-02,561,0.030303030303030304,0.125,0.4117647058823529,4.125,0.7128027681660899,257.2701862633208,1051.2395183361982,2106.233463523597
DOGE,100,2026-03,448,0.024553571428571428,0.022727272727272728,0.09090909090909091,0.9256198347107438,0.6478052839608903,217.57760034895247,191.39414247175768,306.2306279548123
DOGE,500,2026-02,505,0.03564356435643564,0.1,0.2777777777777778,2.805555555555556,0.5704996577686516,476.74652641824724,1327.5388657845272,2394.3111686470934
DOGE,500,2026-03,398,0.022613065326633167,0.02564102564102564,0.1111111111111111,1.1339031339031338,0.4781491002570694,530.2656091488552,591.2698360149412,840.4478383355236
ENA,10,2026-02,740,0.013513513513513514,0.06756756756756757,0.5,5.0,0.8193150684931506,98.32219447707757,481.61097238538787,1272.8289984470964
ENA,10,2026-03,574,0.017421602787456445,0.0,0.0,0.0,0.6570921985815603,89.68194630870151,-10.0,-20.5
ENA,50,2026-02,735,0.009523809523809525,0.0273972602739726,0.2857142857142857,2.876712328767123,0.7770800627943485,239.60738827521985,679.2815279150159,1783.1140107769168
ENA,50,2026-03,570,0.007017543859649123,0.017543859649122806,0.25,2.5,0.38825088339222613,226.48163912890595,556.2040978222649,1132.2726277096106
ENA,100,2026-02,725,0.01793103448275862,0.06944444444444445,0.38461538461538464,3.8728632478632483,0.6369922212618843,298.76274852243216,1147.0672685831375,2970.0848918670526
ENA,100,2026-03,562,0.0071174377224199285,0.0,0.0,0.0,0.5667562724014337,266.86102935400606,-10.0,-20.07142857142857
ENA,500,2026-02,669,0.013452914798206279,0.045454545454545456,0.3333333333333333,3.378787878787879,0.7686868686868686,660.5182712752983,2221.751128702902,5308.398232508005
ENA,500,2026-03,512,0.00390625,0.0,0.0,0.0,0.6911764705882354,580.9975734797667,-10.0,-18.285714285714285
ETH,10,2026-02,2328,0.02491408934707904,0.08620689655172414,0.3448275862068966,3.460166468489893,0.7627525444326295,38.7496232324064,124.08014697538957,1031.637793423953
ETH,10,2026-03,1804,0.024390243902439025,0.07222222222222222,0.29545454545454547,2.961111111111111,0.689424070247934,34.9691463740307,93.54752787421312,602.7133581610017
ETH,50,2026-02,2323,0.02927249246663797,0.07758620689655173,0.2647058823529412,2.650481744421907,0.6797769662188601,87.6838081937063,222.40433289881057,1845.1616618712033
ETH,50,2026-03,1799,0.020011117287381877,0.0670391061452514,0.3333333333333333,3.3500931098696465,0.735063339005483,80.37710092886896,259.27077201310107,1665.8147101841744
ETH,100,2026-02,2319,0.02501078050884002,0.06926406926406926,0.27586206896551724,2.769368562472011,0.657452454666077,128.22242503142022,345.0951528859394,2858.127355508905
ETH,100,2026-03,1790,0.021229050279329607,0.0446927374301676,0.21052631578947367,2.105263157894737,0.6610490266762797,106.44699523040322,214.0989373271647,1368.7039207700886
ETH,500,2026-02,2263,0.022978347326557666,0.08849557522123894,0.38461538461538464,3.8512593601089176,0.7106251956998226,271.47074468719603,1035.504246472302,8369.093249167212
ETH,500,2026-03,1740,0.017241379310344827,0.022988505747126436,0.13333333333333333,1.3333333333333333,0.5653801169590643,272.65301606557324,353.53735475409763,2196.9821331147496
FARTCOIN,10,2026-02,552,0.012681159420289856,0.01818181818181818,0.14285714285714285,1.4337662337662336,0.7732634338138924,168.8881037573862,232.1460604521485,457.65937631994996
FARTCOIN,10,2026-03,562,0.012455516014234875,0.03571428571428571,0.2857142857142857,2.86734693877551,0.6725868725868726,148.48224170106877,415.75010120408496,834.469845988199
FARTCOIN,50,2026-02,548,0.009124087591240875,0.037037037037037035,0.4,4.059259259259259,0.8066298342541436,329.60699085379133,1327.9602295398345,2599.0078778136763
FARTCOIN,50,2026-03,559,0.0017889087656529517,0.0,0.0,0.0,0.6362007168458781,326.7950696317734,-10.0,-19.964285714285715
FARTCOIN,100,2026-02,541,0.012939001848428836,0.05555555555555555,0.42857142857142855,4.2936507936507935,0.6795077581594435,453.90126669579917,1938.8935339875186,3746.219292454456
FARTCOIN,100,2026-03,552,0.009057971014492754,0.0,0.0,0.0,0.6950639853747715,491.4398936089144,-10.0,-19.714285714285715
FARTCOIN,500,2026-02,485,0.006185567010309278,0.020833333333333332,0.3333333333333333,3.3680555555555554,0.7323651452282158,876.6235752894657,2942.516902884659,5096.859635353784
FARTCOIN,500,2026-03,502,0.00199203187250996,0.0,0.0,0.0,0.6147704590818364,900.0780747737803,-10.0,-17.928571428571427
HYPE,10,2026-02,1745,0.01489971346704871,0.028735632183908046,0.19230769230769232,1.928603006189213,0.6865351053832729,62.606848470330625,110.74375616791218,690.1709089750241
HYPE,10,2026-03,1237,0.008084074373484237,0.008130081300813009,0.1,1.005691056910569,0.671882640586797,57.669886091389344,47.99808869516148,212.0486989854098
HYPE,50,2026-02,1737,0.017271157167530225,0.07514450867052024,0.43333333333333335,4.350867052023122,0.7446201913688733,142.98706476089777,612.1177089336865,3797.315930063619
HYPE,50,2026-03,1230,0.0040650406504065045,0.008130081300813009,0.2,2.0,0.6893061224489796,124.21992121335279,238.43984242670558,1047.4321649458852
HYPE,100,2026-02,1732,0.01789838337182448,0.08092485549132948,0.45161290322580644,4.5213499906768595,0.8195179306290417,204.88582543302175,916.3605249114136,5668.344389809172
HYPE,100,2026-03,1226,0.0065252854812398045,0.01639344262295082,0.25,2.512295081967213,0.5888752052545156,166.1856473720029,407.5073845862204,1784.3001910810933
HYPE,500,2026-02,1676,0.013723150357995227,0.05389221556886228,0.391304347826087,3.9271023171049206,0.7268997080407165,438.41646818159995,1711.706328052917,10245.785020773888
HYPE,500,2026-03,1176,0.00510204081632653,0.017094017094017096,0.3333333333333333,3.350427350427351,0.7485754985754985,444.51770815195823,1479.324287141604,6213.162005994736
KBONK,10,2026-02,550,0.012727272727272728,0.05454545454545454,0.42857142857142855,4.285714285714286,0.7403314917127072,139.0741405235271,586.0320308151161,1151.134346243978
KBONK,10,2026-03,467,0.021413276231263382,0.043478260869565216,0.2,2.0304347826086957,0.7824945295404815,104.24877074547123,201.67033016580464,336.35730066939556
KBONK,50,2026-02,544,0.012867647058823529,0.018518518518518517,0.14285714285714285,1.439153439153439,0.6049481245011972,238.7596574927948,333.6117822118528,648.1600340115997
KBONK,50,2026-03,464,0.010775862068965518,0.021739130434782608,0.2,2.017391304347826,0.7777777777777778,261.60282126511447,517.7552568131005,857.9944255759951
KBONK,100,2026-02,539,0.01855287569573284,0.03773584905660377,0.2,2.033962264150943,0.5236294896030246,307.61829181574274,615.6839973157936,1185.1916948329026
KBONK,100,2026-03,457,0.015317286652078774,0.022222222222222223,0.14285714285714285,1.450793650793651,0.5580952380952381,321.5637319746228,456.52262067429405,745.1101344576872
KBONK,500,2026-02,483,0.020703933747412008,0.08333333333333333,0.4,4.0249999999999995,0.63446088794926,627.257976637338,2514.713355965285,4337.880539040117
KBONK,500,2026-03,407,0.012285012285012284,0.0,0.0,0.0,0.4477611940298508,712.3464718170003,-10.0,-14.535714285714288
KPEPE,10,2026-02,564,0.024822695035460994,0.05357142857142857,0.21428571428571427,2.158163265306122,0.6623376623376623,114.76801129382295,237.68810600656684,478.77175638465604
KPEPE,10,2026-03,485,0.008247422680412371,0.020833333333333332,0.25,2.5260416666666665,0.6787941787941787,83.53830184205435,201.02123121560604,348.19748978417476
KPEPE,50,2026-02,557,0.02333931777378815,0.05454545454545454,0.23076923076923078,2.337062937062937,0.7484445701357466,208.8923099369403,478.19447539108705,951.265438545841
KPEPE,50,2026-03,482,0.014522821576763486,0.020833333333333332,0.14285714285714285,1.4345238095238093,0.4890225563909774,232.94345612937084,324.1629340903474,558.023336541241
KPEPE,100,2026-02,548,0.02737226277372263,0.05555555555555555,0.2,2.0296296296296292,0.6215134459036898,284.67601344770344,567.7868717383017,1111.2400204021048
KPEPE,100,2026-03,474,0.02109704641350211,0.06382978723404255,0.3,3.025531914893617,0.4640086206896552,259.40971681848225,774.8523772678335,1311.7143815176894
