symbol,bucket_start_ms,bbo_updates,avg_spread_bps,max_spread_bps,avg_top_bid_notional,avg_top_ask_notional,first_mid,last_mid,first_order_id,last_order_id,mid_return_bps,bbo_churn_per_min,order_id_delta,top_depth_notional,trade_count,trade_qty,signed_trade_qty,trade_notional,liquidation_count,liquidation_notional,abs_trade_imbalance,mark_oracle_basis_bps,mid_oracle_basis_bps,funding,next_funding,open_interest,price_updates,mark_oracle_basis_abs_bps,book_updates,avg_book_spread_bps,avg_bid_depth_l5,avg_ask_depth_l5,avg_bid_orders_l5,avg_ask_orders_l5,first_book_nonce,last_book_nonce,realized_vol_bps,toxicity_score
2Z,1777592640000,6.0,12.247397428045192,12.247397428045192,5213.301600000001,287.85633333333334,0.08165,0.08165,8209329510.0,8209335326.0,0.0,6.0,5816.0,5501.157933333334,2.0,2.0,2.0,0.1634,0.0,0.0,1.0,-14.784584931941561,-23.459837247378818,-1.613e-05,-2.272e-05,1095132.0,16.0,14.784584931941561,175.0,12.247397428045193,271776.40571428573,230911.95428571428,14.548571428571428,12.28,8209329512.0,8209342388.0,4.328784005580781,0.5997091297969788
2Z,1777592700000,10.0,12.247397428045192,12.247397428045192,4537.94736,287.84543999999994,0.08165,0.08165,8209345868.0,8209359019.0,0.0,10.0,13151.0,4825.7928,2.0,2.0,2.0,0.1634,0.0,0.0,1.0,-15.641229302865902,-22.606464226798384,-1.613e-05,-2.227e-05,1095132.0,17.0,15.641229302865902,191.0,12.247397428045193,261538.86387434555,227943.38743455498,13.963350785340314,12.287958115183246,8209343054.0,8209350357.0,4.328784005580781,0.6208945028611101
2Z,1777592760000,25.0,21.544026545520786,24.479804161565713,4784.883648,9854.710612,0.08165,0.0817,8209363031.0,8209373870.0,6.1236987140222965,25.0,10839.0,14639.594260000002,1.0,1.0,1.0,0.0817,0.0,0.0,1.0,-14.052838673412516,-16.37461201945513,-1.613e-05,-2.165e-05,1095132.0,18.0,14.052838673412516,213.0,17.760594829068527,282877.95774647885,259165.25352112675,15.582159624413146,14.178403755868544,8209361194.0,8209373871.0,5.122110228467943,0.6975299828669331
2Z,1777592820000,15.0,23.664310379331013,24.479804161565713,7945.9632,7942.131046666666,0.0817,0.0817,8209375880.0,8209377956.0,0.0,15.0,2076.0,15888.094246666667,1.0,1.0,1.0,0.0817,0.0,0.0,1.0,-14.416439628103886,-18.448155795286358,-1.613e-05,-2.137e-05,1095132.0,19.0,14.416439628103886,242.0,24.479804161565713,280859.86363636365,294346.0991735537,12.938016528925619,14.685950413223141,8209360428.0,8209384137.0,4.328784005580781,0.6645894222909038
2Z,1777592880000,19.0,18.033810340815876,24.479804161565713,6260.462178947369,4455.366157894737,0.0817,0.08174999999999999,8209392557.0,8209397860.0,6.11995104039087,19.0,5303.0,10715.828336842105,,,,,,,,-14.40869405946555,-17.705598632394207,-1.613e-05,-2.08e-05,1095132.0,17.0,14.40869405946555,175.0,20.84058022162238,266801.71428571426,244436.64571428573,13.982857142857142,14.217142857142857,8209377910.0,8209384125.0,3.3530618401377263,0.557989272236593
2Z,1777592940000,19.0,12.232415902141025,12.232415902141025,1430.6400999999998,2224.477810526316,0.08174999999999999,0.08174999999999999,8209400410.0,8209411032.0,0.0,19.0,10622.0,3655.1179105263154,2.0,2.0,2.0,0.1636,0.0,0.0,1.0,-11.478252375020986,-17.58370576598913,-1.613e-05,-2.011e-05,1095132.0,19.0,11.478252375020986,209.0,12.232415902141025,268689.65071770333,198811.17224880384,14.16267942583732,12.023923444976077,8209399485.0,8209411220.0,3.3530618401377263,0.6211338618828456
2Z,1777593000000,19.0,18.01963467246936,24.44987775061195,3374.167,5831.432610526316,0.08174999999999999,0.08174999999999999,8209412349.0,8209421246.0,0.0,19.0,8897.0,9205.599610526317,1.0,1.0,-1.0,0.0817,0.0,0.0,1.0,-11.725763701432603,-14.779347998680377,-1.613e-05,-1.858e-05,1095094.0,16.0,11.725763701432603,180.0,15.286781364258756,247286.35,226355.72777777776,15.083333333333334,12.455555555555556,8209412327.0,8209411220.0,3.3530618401377263,0.6400656207657248
2Z,1777593060000,16.0,21.418893442078552,24.479804161565713,5320.07895,3800.5762562499995,0.08174999999999999,0.0817,8209424209.0,8209434508.0,-6.116207951070152,16.0,10299.0,9120.65520625,2.0,2.0,2.0,0.16349999999999998,0.0,0.0,1.0,-13.073812054787334,-17.472477792847798,-1.613e-05,-1.757e-05,1095094.0,16.0,13.073812054787334,181.0,19.13425900966212,255549.9447513812,256511.72375690608,14.790055248618785,14.464088397790055,8209424216.0,8209434740.0,4.3261356207177375,0.6618108979742668
2Z,1777593120000,9.0,23.12064785784121,24.479804161565713,11182.908266666667,4891.192833333333,0.0817,0.0817,8209436727.0,8209447677.0,0.0,9.0,10950.0,16074.1011,2.0,164.0,162.0,13.3987,0.0,0.0,0.9878048780487805,-11.974145620273069,-17.472477792847798,-1.613e-05,-1.688e-05,1095094.0,20.0,11.974145620273069,235.0,24.479804161565713,247076.65106382978,255811.25106382978,12.902127659574468,14.251063829787235,8209424334.0,8209447793.0,4.3261356207177375,0.5733670395628269
2Z,1777593180000,10.0,22.03182466227119,24.479804161565713,11114.37619,2322.0729499999998,0.08165,0.08174999999999999,8209452571.0,8209458052.0,12.247397428044593,10.0,5481.0,13436.44914,2.0,2.0,0.0,0.1633,0.0,0.0,0.0,-12.701514411332802,-15.876893014166004,-1.613e-05,-1.619e-05,1095094.0,19.0,12.701514411332802,240.0,20.244249055181342,265430.31666666665,193736.66666666666,13.629166666666666,11.470833333333333,8209449429.0,8209447787.0,6.706124935100272,0.5844307454563779
2Z,1777593240000,9.0,20.39734140842415,24.479804161565713,8150.939833333334,5600.100711111111,0.08174999999999999,0.0817,8209465255.0,8209470017.0,-6.116207951070152,9.0,4762.0,13751.040544444444,2.0,2.0,0.0,0.1634,0.0,0.0,0.0,-13.312164142647532,-21.983390327308207,-1.613e-05,-1.58e-05,1095094.0,19.0,13.312164142647532,222.0,18.24577320068738,281078.57657657657,211491.47747747749,15.256756756756756,11.594594594594595,8209450468.0,8209472316.0,7.496911001751271,0.5869027222539501
2Z,1777593300000,21.0,23.31481304408757,24.479804161565713,5880.744914285715,7554.89089047619,0.0817,0.0817,8209477314.0,8209490514.0,0.0,21.0,13200.0,13435.635804761905,2.0,2.0,0.0,0.1633,0.0,0.0,0.0,-19.173933220975364,-22.22710730075006,-1.613e-05,-1.663e-05,1095094.0,19.0,19.173933220975364,186.0,24.479804161565713,249635.85483870967,249837.25268817204,14.720430107526882,15.881720430107526,8209463347.0,8209490514.0,7.496911001751271,0.6378973919664953
2Z,1777593360000,9.0,21.76149155411671,24.479804161565713,5608.957333333335,7897.55891111111,0.08165,0.0817,8209490966.0,8209506283.0,6.1236987140222965,9.0,15317.0,13506.516244444445,1.0,1.0,1.0,0.0817,0.0,0.0,1.0,-18.685425368212837,-22.22710730075006,-1.613e-05,-1.745e-05,1095094.0,18.0,18.685425368212837,215.0,24.479804161565717,241914.5023255814,239082.7023255814,12.432558139534883,12.874418604651163,8209490935.0,8209506291.0,6.979791767785035,0.6812689667528918
2Z,1777593420000,26.0,17.422646430688488,24.479804161565713,4466.410523076924,4628.370915384615,0.0817,0.08165,8209506408.0,8209518027.0,-6.11995104039087,26.0,11619.0,9094.781438461538,2.0,2.0,2.0,0.1634,0.0,0.0,1.0,-14.787837309346417,-21.26515447790301,-1.613e-05,-1.743e-05,1095094.0,18.0,14.787837309346417,204.0,15.185573555214336,271746.79411764705,261385.44607843139,15.166666666666666,14.382352941176471,8209506425.0,8209519606.0,7.981740715059117,0.7240162484182707
2Z,1777593480000,35.0,16.10129661172367,24.509803921567624,5411.704125714286,739.2589485714286,0.08165,0.0816,8209526428.0,8209534681.0,-6.1236987140222965,35.0,8253.0,6150.963074285715,1.0,1.0,1.0,0.0817,0.0,0.0,1.0,-14.178155861934705,-26.400704018773098,-1.613e-05,-1.714e-05,1095094.0,17.0,14.178155861934705,204.0,19.1600285395897,195967.39215686274,176856.24019607843,13.985294117647058,12.46078431372549,8209523498.0,8209534681.0,5.4753185967779325,0.7034299727886585
2Z,1777593540000,21.0,20.99126020474342,24.509803921567624,3654.815838095238,3090.8710476190477,0.08155000000000001,0.0817,8209537453.0,8209548651.0,18.393623543835336,21.0,11198.0,6745.686885714285,2.0,2.0,2.0,0.1633,0.0,0.0,1.0,-14.178155861934705,-14.178155861934705,-1.613e-05,-1.66e-05,1095094.0,18.0,14.178155861934705,200.0,19.966413569363922,189630.07,169951.645,11.84,10.515,8209521333.0,8209469055.0,10.254876307701005,0.7346558269224307
2Z,1777593600000,28.0,27.967857118632644,61.236987140232756,1837.8166535714286,1282.2403142857142,0.0817,0.08185,8209549134.0,8209572117.0,18.35985312117705,28.0,22983.0,3120.056967857143,2.0,2.0,2.0,0.16349999999999998,0.0,0.0,1.0,-13.785867655670748,-14.395861799725882,-1.641e-05,1.5e-05,1095390.0,15.0,13.785867655670748,168.0,22.92510276098971,148833.01785714287,98854.44047619047,12.303571428571429,10.726190476190476,8209547533.0,8209572117.0,12.249287610731464,0.7600558784336121
2Z,1777593660000,40.0,15.576904844872667,24.44987775061195,5082.7211225,1184.4916975,0.08185,0.0818,8209572866.0,8209592504.0,-6.108735491754391,40.0,19638.0,6267.212820000001,2.0,2.0,2.0,0.1638,0.0,0.0,1.0,-11.829701086625104,-24.025269217166816,-1.641e-05,1.5e-05,1095390.0,16.0,11.829701086625104,176.0,18.887827023311555,165043.35227272726,139138.6534090909,11.159090909090908,9.3125,8209572117.0,8209582412.0,13.416032355056677,0.750429726430835
2Z,1777593720000,23.0,16.48196784943526,24.44987775061195,7109.981573913043,2309.082965217391,0.0818,0.08174999999999999,8209593671.0,8209602925.0,-6.112469437653534,23.0,9254.0,9419.064539130433,2.0,2.0,0.0,0.16349999999999998,0.0,0.0,0.0,-16.839947283643195,-24.16166349392174,-1.641e-05,1.5e-05,1095390.0,18.0,16.839947283643195,214.0,14.116417028307103,256993.7570093458,252259.19158878503,13.827102803738319,12.813084112149532,8209593376.0,8209590993.0,13.414666408822193,0.6523303210490364
2Z,1777593780000,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,24.44987775061195,250016.0,229030.0,12.0,11.0,8209609089.0,8209609089.0,14.13777960537665,0.27837874155944503
2Z,1777593840000,36.0,21.376435270988,24.44987775061195,7167.1996805555555,6622.620727777778,0.0818,0.08185,8209632553.0,8209649428.0,6.112469437653534,36.0,16875.0,13789.820408333333,2.0,2.0,2.0,0.1637,0.0,0.0,1.0,-15.725378810965129,-22.308095522532245,-1.641e-05,1.5e-05,1095390.0,20.0,15.725378810965129,236.0,22.933334321424432,270313.42372881353,227431.52966101695,13.694915254237289,12.194915254237289,8209609801.0,8209649428.0,11.713282352375636,0.765710910292158
2Z,1777593900000,29.0,19.372750813920064,24.44987775061195,5648.910751724138,5510.835431034483,0.0819,0.0818,8209650165.0,8209664061.0,-12.210012210012167,29.0,13896.0,11159.746182758621,2.0,2.0,0.0,0.1637,0.0,0.0,0.0,-17.55391123084507,-28.40320358879928,-1.641e-05,1.5e-05,1095390.0,18.0,17.55391123084507,201.0,16.598931583359498,242760.5671641791,256247.40298507462,10.711442786069652,12.786069651741293,8209650168.0,8209649401.0,7.686166868453097,0.6456212696386379
2Z,1777593960000,6.0,12.217470983506765,12.217470983506765,1244.4234,299.84954999999997,0.08185,0.08185,8209673370.0,8209678681.0,0.0,6.0,5311.0,1544.2729499999998,1.0,1.0,1.0,0.0819,0.0,0.0,1.0,-15.969572478697822,-22.064829149955578,-1.641e-05,1.471e-05,1095390.0,19.0,15.969572478697822,219.0,13.613864450071285,280458.2922374429,252597.54794520547,14.69406392694064,12.835616438356164,8209668126.0,8209686155.0,7.885384452242037,0.6452335360186335
2Z,1777594020000,24.0,18.844603392241595,24.44987775061195,4698.9223125,1164.2472,0.08185,0.0818,8209687662.0,8209700357.0,-6.108735491754391,24.0,12695.0,5863.1695125,1.0,1.0,1.0,0.0819,0.0,0.0,1.0,-11.3424316709958,-23.53859475808895,-1.641e-05,1.165e-05,1095390.0,19.0,11.3424316709958,213.0,15.37614383378573,211664.89201877936,151259.11267605633,12.80281690140845,8.577464788732394,8209686883.0,8209700357.0,7.884901665797205,0.7139057793305786
2Z,1777594080000,19.0,21.877780519354914,24.44987775061195,6825.815699999999,4049.942352631579,0.0818,0.0818,8209702166.0,8209712209.0,0.0,19.0,10043.0,10875.758052631578,2.0,2.0,0.0,0.16349999999999998,0.0,0.0,0.0,-17.19889731892394,-22.199995120880388,-1.641e-05,5.94e-06,1095390.0,15.0,17.19889731892394,177.0,21.274718174173177,186865.89830508476,161933.33333333334,11.841807909604519,7.745762711864407,8209702168.0,8209708856.0,6.963560229705106,0.6240803574428058
2Z,1777594140000,19.0,18.662658980283616,24.44987775061195,6453.2121,3700.648747368421,0.0818,0.0818,8209718044.0,8209729117.0,0.0,19.0,11073.0,10153.860847368422,2.0,2.0,0.0,0.16349999999999998,0.0,0.0,0.0,-18.300047580123387,-20.37405297253779,-1.641e-05,-1.32e-06,1095390.0,19.0,18.300047580123387,213.0,21.926082814777583,201294.5117370892,181895.42253521126,13.671361502347418,12.5962441314554,8209702168.0,8209729117.0,5.460900658423254,0.6011004915958388
