horizon_minutes,toxicity_decile,n_obs,n_days,n_symbols,mean_forward_return,median_forward_return,p05_long_adverse_excursion_bps,p05_short_adverse_excursion_bps,downside_deviation,sortino_proxy,tail_loss_probability
15,8,4717,2,63,0.5265462647903822,0.0,-69.68587582104679,-74.9067771254941,28.19654244134117,0.01867414296932986,0.10027559889760441
15,9,4771,2,58,-0.2696602619788191,0.0,-90.84025204115275,-88.65514650638673,35.72345647966038,-0.007548549008194482,0.10018863969817648
15,10,4893,2,51,0.2633394936064448,0.0,-118.70846988785199,-125.09205623997131,43.62353301301372,0.006036638378828365,0.10014306151645208
30,1,1467,2,47,-0.08107892775786672,-2.2779537466899313,-32.60006107667901,-51.60327595268144,13.297558732779892,-0.006097279161324444,0.10020449897750511
30,2,2653,2,59,2.089923208573863,-0.42720437457233196,-45.90355278446467,-71.11355705124333,16.728851058080636,0.1249292734640228,0.10064078401809272
30,3,3213,2,62,3.8872538370318575,0.7265065930450731,-54.53416300854852,-78.52688304738287,19.099703625761844,0.2035243013817605,0.10021786492374728
30,4,3456,2,64,5.251888068846903,1.8163124738934666,-60.55949409449923,-90.12538814478776,20.661971097744303,0.2541813674988762,0.10011574074074074
30,5,3489,2,64,2.580859185576534,0.0,-69.1735220988201,-88.44048144751815,24.3384717157458,0.10604031410513111,0.1000286615075953
30,6,3579,2,63,3.2185583430290636,0.0,-75.52474058842796,-93.72428559276536,25.674483027993173,0.125360200613186,0.10002794076557697
30,7,3772,2,63,3.0548546535549113,0.0,-83.50868405464718,-103.04888092306629,31.306223770538352,0.09757978719968688,0.10021208907741251
30,8,3890,2,62,1.1536946689160665,0.06522816813236965,-101.51873121937605,-114.7796925337905,40.708845420175436,0.02834014713530273,0.1
30,9,3950,2,57,-0.8771550220890885,0.0,-137.69363166953542,-136.71635451716958,49.08201643435958,-0.017871209983032425,0.1
30,10,4181,2,49,0.9764486402002914,-1.0519450463919444,-180.82501412695518,-202.87531934078064,58.02027113671318,0.0168294394540054,0.1002152595072949
60,1,826,2,44,7.16149034489027,-0.6041900874359518,-51.2762073204448,-108.74701139362675,18.527839392940827,0.38652592960293164,0.10048426150121065
60,2,1782,2,56,8.498535783174304,1.875649357274689,-67.78077730965836,-108.25733223739599,21.64778812779976,0.39258217666407286,0.10044893378226712
60,3,2311,2,58,9.954868446142205,3.3286912808683233,-76.33519374348086,-120.14416281588836,23.944415548567353,0.41574906791733435,0.10038944180008655
60,4,2446,2,58,10.48854840288174,6.060084860904924,-87.90748559534322,-126.46799175555833,27.920187125368308,0.3756618233175033,0.10016353229762878
60,5,2472,2,60,7.580589104149692,2.4202467556333485,-91.65601965868369,-126.42683816040389,29.57689350981407,0.25630105817686144,0.10032362459546926
60,6,2553,2,59,7.616472056683953,2.391629297460174,-100.8879411858321,-142.9839320337036,37.9639445119316,0.20062383281300472,0.10027418723070897
60,7,2634,2,59,6.735220482608146,2.22119745257765,-113.61466025701738,-152.76688801307526,41.418757500561924,0.16261280852079568,0.10022779043280182
60,8,2802,2,58,4.190398173898395,1.687384013704385,-137.49754468670105,-178.67606904900003,53.486952621920324,0.07834430582573633,0.10028551034975018
60,9,2758,2,54,-1.8400788524070977,0.7415201805494043,-208.43033465550099,-202.69991343428174,70.22151963367894,-0.02620391671963444,0.10007251631617115
60,10,3110,2,46,-4.961092896692153,0.0,-295.8836759129983,-275.59922600050356,90.98870053449112,-0.05452427463574502,0.1
